name,name_en,name_kr,item_id,code,type,index,category,description,inventory_size,class_limit,icon_file,icon_local_path,icon_url,site_page_id,source_url,list_source_url
[绑定]神秘之石,[Bound]Mysterious Stone,[귀속]신비의돌,1014420,14-420,14,420,宝石/货币,具有神秘能力的石头。可用于精通/传奇道具，可变更属性。[注意] 可能比所具有的属性变得更低。神秘之石属性概率可在官网概率信息中确认。,1 x 1,,so_stone01.png,icons/so_stone01.png,https://mu.dvg.cn/source/n_itemlitpic/so_stone01.png,4581,https://mu.dvg.cn/item_info.php?id=4581,https://mu.dvg.cn/item_list.php?atype=9
血色天使之魂变换标志,Bloodangel Soul Transform Symbol,블러드엔젤의혼 변환 징표,1014417,14-417,14,417,宝石/货币,Speed server [绑定]把+11/13/15强套装防具和该道具哥布林合成之后可变换为[血色天使之魂]的道具。,1 x 1,,rareitem_ticket7.png,icons/rareitem_ticket7.png,https://mu.dvg.cn/source/n_itemlitpic/rareitem_ticket7.png,4578,https://mu.dvg.cn/item_info.php?id=4578,https://mu.dvg.cn/item_list.php?atype=9
奇迹的铜币,Coin of Miracle,기적의 동전,1014413,14-413,14,413,宝石/货币,在奇迹商店使用的货币道具。请去找幻术园奇迹商人摩斯。[注意] 装备栏不可叠加，请确保空间充足。,1 x 1,,coin7.png,icons/coin7.png,https://mu.dvg.cn/source/n_itemlitpic/coin7.png,4574,https://mu.dvg.cn/item_info.php?id=4574,https://mu.dvg.cn/item_list.php?atype=9
神秘之石,Mysterious Stone,신비의돌,1014345,14-345,14,345,宝石/货币,具有神秘能力的石头。可用于精通/传奇道具，可变更属性。[注意] 可能比所具有的属性变得更低。神秘之石属性概率可在官网概率信息中确认。,1 x 1,,so_stone01.png,icons/so_stone01.png,https://mu.dvg.cn/source/n_itemlitpic/so_stone01.png,4520,https://mu.dvg.cn/item_info.php?id=4520,https://mu.dvg.cn/item_list.php?atype=9
提高宝石,Jewel of Elevation,상승의보석,1014161,14-161,14,161,宝石/货币,用于强化道具的宝石。,1 x 1,,lucky_items02.png,icons/lucky_items02.png,https://mu.dvg.cn/source/n_itemlitpic/lucky_items02.png,4395,https://mu.dvg.cn/item_info.php?id=4395,https://mu.dvg.cn/item_list.php?atype=9
延长宝石,Jewel of Extension,연장의보석,1014160,14-160,14,160,宝石/货币,用于修理幸运道具耐久度的宝石。,1 x 1,,lucky_items01.png,icons/lucky_items01.png,https://mu.dvg.cn/source/n_itemlitpic/lucky_items01.png,4394,https://mu.dvg.cn/item_info.php?id=4394,https://mu.dvg.cn/item_list.php?atype=9
高级进化宝石,Higher refining stone,상급 제련석,1014044,14-44,14,44,宝石/货币,使用于赋予再生额外属性或去除再生属性的合成材料。适用+9强化等级以上、赋予再生额外属性、赋予3条再生属性数值在高级以上的道具。,1 x 1,,HighRefineStone.png,icons/HighRefineStone.png,https://mu.dvg.cn/source/n_itemlitpic/HighRefineStone.png,4279,https://mu.dvg.cn/item_info.php?id=4279,https://mu.dvg.cn/item_list.php?atype=9
初级进化宝石,Lower refining stone,하급 제련석,1014043,14-43,14,43,宝石/货币,赋予再生额外属性时使用。适用+9强化等级以上、赋予再生额外属性、赋予3条再生属性数值在高级以上的道具。,1 x 1,,LowRefineStone.png,icons/LowRefineStone.png,https://mu.dvg.cn/source/n_itemlitpic/LowRefineStone.png,4278,https://mu.dvg.cn/item_info.php?id=4278,https://mu.dvg.cn/item_list.php?atype=9
再生宝石,Jewel of Harmony,조화의보석,1014042,14-42,14,42,宝石/货币,用于强化道具的宝石。,1 x 1,,jos.png,icons/jos.png,https://mu.dvg.cn/source/n_itemlitpic/jos.png,4277,https://mu.dvg.cn/item_info.php?id=4277,https://mu.dvg.cn/item_list.php?atype=9
再生原石,Gemstone,원석,1014041,14-41,14,41,宝石/货币,再生宝石相关原石道具，可作为合成/提炼材料使用。,1 x 1,,rs.png,icons/rs.png,https://mu.dvg.cn/source/n_itemlitpic/rs.png,4276,https://mu.dvg.cn/item_info.php?id=4276,https://mu.dvg.cn/item_list.php?atype=9
守护宝石,Jewel of Guardian,수호보석,1014031,14-31,14,31,宝石/货币,守护类宝石道具，可用于特定系统强化/合成。,1 x 1,,suho.png,icons/suho.png,https://mu.dvg.cn/source/n_itemlitpic/suho.png,4266,https://mu.dvg.cn/item_info.php?id=4266,https://mu.dvg.cn/item_list.php?atype=9
创造宝石,Jewel of Creation,창조의보석,1014022,14-22,14,22,宝石/货币,创造类宝石道具，可用于特定系统合成。,1 x 1,,jewel22.png,icons/jewel22.png,https://mu.dvg.cn/source/n_itemlitpic/jewel22.png,4259,https://mu.dvg.cn/item_info.php?id=4259,https://mu.dvg.cn/item_list.php?atype=9
生命宝石,Jewel of Life,생명의보석,1014016,14-16,14,16,宝石/货币,用于装备追加属性相关强化的宝石。,1 x 1,,Jewel03.png,icons/Jewel03.png,https://mu.dvg.cn/source/n_itemlitpic/Jewel03.png,4253,https://mu.dvg.cn/item_info.php?id=4253,https://mu.dvg.cn/item_list.php?atype=9
灵魂宝石,Jewel of Soul,영혼의보석,1014014,14-14,14,14,宝石/货币,用于装备强化的核心宝石。,1 x 1,,Jewel02.png,icons/Jewel02.png,https://mu.dvg.cn/source/n_itemlitpic/Jewel02.png,4251,https://mu.dvg.cn/item_info.php?id=4251,https://mu.dvg.cn/item_list.php?atype=9
